Date,Service,Cost (USD)
2025-01-27,AWS Cost Explorer,1.6185
2025-01-27,AWS Global Accelerator,1.8266003423
2025-01-27,AWS Glue,1.0878300048
2025-01-27,AWS Key Management Service,0.6432939198
2025-01-27,AWS Lambda,0.8375253576
2025-01-27,AWS Secrets Manager,0.9163739522
2025-01-27,AWS Step Functions,6.8321185006
2025-01-27,AWS Systems Manager,62.5709195
2025-01-27,AWS WAF,0.2945161252
2025-01-27,Amazon API Gateway,40.5450115152
2025-01-27,Amazon Athena,2.53398585
2025-01-27,Amazon Bedrock,0.2537738279
2025-01-27,Amazon Chime Voice Connector a service sold by AMCS LLC,0.0363144028
2025-01-27,Amazon CloudFront,0.0117825559
2025-01-27,Amazon DevOps Guru,0
2025-01-27,Amazon DynamoDB,0.2272527825
2025-01-27,Amazon EC2 Container Registry (ECR),6.4952722584
2025-01-27,EC2 - Other,3907.0420639306
2025-01-27,Amazon Elastic Compute Cloud - Compute,2241.6506076785
2025-01-27,Amazon Elastic Container Registry Public,0
2025-01-27,Amazon Elastic Container Service,0.781773297
2025-01-27,Amazon Elastic Container Service for Kubernetes,68.7611284277
2025-01-27,Amazon Elastic File System,135.3918483478
2025-01-27,Amazon Elastic Load Balancing,266.0261217861
2025-01-27,Amazon Polly,0.835644
2025-01-27,Amazon QuickSight,1.9707198324
2025-01-27,Amazon Relational Database Service,18.8385315775
2025-01-27,Amazon Route 53,0.01931908
2025-01-27,Amazon SageMaker,0.913
2025-01-27,Amazon Simple Email Service,0.0055701755
2025-01-27,Amazon Simple Notification Service,0.0000019501
2025-01-27,Amazon Simple Queue Service,0.174812774
2025-01-27,Amazon Simple Storage Service,465.9375319197
2025-01-27,Amazon Virtual Private Cloud,99.0139048084
2025-01-27,AmazonCloudWatch,284.8795811594
2025-01-27,CloudWatch Events,0.1976915249
2025-01-27,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-27,Savings Plans for AWS Compute usage,996
